JOB Role,Company,Salary,Location
Front Desk Executive,Podar Education Network,Competitive salary,Gwalior
Department Manager,Reliance Retail,"₹ 4,00,000 - 6,00,000",Pune
MSSQL Database Architect,Jio,Competitive salary,Delhi
Postgresql DBA Architect,Jio,Competitive salary,Delhi
Cloud Security,Chiselon Technologies Pvt Ltd,"₹ 15,00,000 - 30,00,000",Bangalore
Area Sales Manager,Manfront Staffing Services Pvt.Ltd.,Competitive salary,"Chennai, Amalapuram, Hyderabad, Mumbai, Bangalore"
Executive  SCM,Vilvah Store Private Limited,Competitive salary,Coimbatore
L2 - Network & Security,Jio,Competitive salary,Pune
Linux Server Administration.,Ultrafly Solutions Private Limited,Competitive salary,Coimbatore
Associate Regional Head - Home Interiors,Interior Company,"₹ 13,50,000 - 14,50,000","Pune, Pune Division"
SIAM - Reporting,Zensar Technologies,Competitive salary,"Chennai, Kolkata, Pune, Hyderabad, Bangalore"
Well Operations Oil & Gas,Wings Global Services,"₹ 12,00,000 - 18,00,000",Mumbai
Senior Production Engineer Oil & Gas,Wings Global Services,"₹ 15,00,000 - 30,00,000",Mumbai
Production Engineer (oil & Gas),Wings Global Services,Competitive salary,Mumbai
Well Integrity Engineering,Wings Global Services,Competitive salary,Mumbai
Senior Well Engineer,Wings Global Services,Competitive salary,"Mehsana, Mumbai, Ankleshwar"
MCH - Staff Nurse,Sir H.N. Reliance Foundation Hospital & Research Centre,Competitive salary,Mumbai
Department Manager,Reliance Retail,Competitive salary,"Jalandhar, Noida"
Online Teacher - Work From Home,PlanetSpark,Competitive salary,Bangalore
Admission Marketing Executive For Presidency School Yelhanka,Presidency Group Of Schools,"₹ 3,20,000 - 4,00,000",Bangalore
PGT Physics Teacher For CBSE School,Navars Edutech Private Limited,"₹ 3,36,000 - 4,20,000",Hyderabad
PGT English Teacher For CBSE School,"GEMS International School, Gurgaon",Competitive salary,Gurgaon
PRT General Teacher For CBSE School,Reputed School In Jhansi,"₹ 2,40,000 - 3,00,000",Jhansi
Vice Principal For Hardoi Campus,Seth MR Jaipuria Schoool,"₹ 8,00,000 - 10,00,000",Hardoi
Primary English Teacher For CBSE School,Brahmavid The Global School,"₹ 4,08,000 - 5,10,000",Raipur
TGT History And Pol Science Teacher For CBSE School,"The Kalyani School, Pune","₹ 4,80,000 - 6,00,000",Pune
TGT English Teacher For CBSE School,Shrikanwartara Public Higher Sec School,"₹ 2,40,000 - 3,00,000",Mandleshwar
Principal For School,Shrikanwartara Public Higher Sec School,"₹ 12,00,000 - 15,00,000",Mandleshwar
Hostel Warden For School,Shrikanwartara Public Higher Sec School,Competitive salary,Mandleshwar
TGT Science,Abhyuday School,"₹ 2,88,000 - 3,60,000",Kawardha
Administration Head For School,Shri Shikshayatan School,"₹ 9,60,000 - 12,00,000",Kolkata
Head Teacher/Assistant Teacher For Daycare,Pumpkin Patch Daycare,"₹ 2,16,000 - 2,70,000",Pune
Teacher For Pre-School,Cherry Blossom Preschool And Daycare,Competitive salary,Kolkata
TGT English Teacher For CBSE School,Sant NandLal Smriti Vidya Mandir,Competitive salary,Jhunjhunu
Physics Teacher For CBSE School,Janapriya Schools,"₹ 2,44,000 - 3,05,000",Hyderabad
Warehouse Manager,Seth MR Jaipuria Group,Competitive salary,Lucknow
Librarian For CBSE/IB School,Reputed School At Hyderabad,"₹ 3,83,200 - 4,79,000",Hyderabad
Computer Teacher For School In Birbhum,International Delhi Public School Birbhum,Competitive salary,Kolkata
PGT Computer Science For TIGPS Mankundu (CBSE School),Techno India Group Public School Mankundu,"₹ 2,88,000 - 3,60,000",Hooghly
Academic Coordinator (Pre-Primary Level) For School,Narayana Schools,"₹ 6,48,000 - 8,10,000",Nellore
Academic Coordinator (Pre-Primary Level) For School,Narayana Schools,"₹ 6,48,000 - 8,10,000",Visakhapatnam
Principal For School,Narayana Schools,"₹ 6,48,000 - 8,10,000",Nellore
Principal For School,Narayana Schools,"₹ 6,48,000 - 8,10,000",Visakhapatnam
Head Teacher For Pre-School,Jumpstart International Preschool,Competitive salary,Pune
English Lectuere At Presidency PU College Mangalore,Presidency College,"₹ 4,00,000 - 5,00,000",Mangalore
Psychological Counsellor For TIGPS Balurghat (CBSE School),Techno India Group Public School Balurghat,"₹ 2,00,000 - 2,50,000",Balurghat
Business Development Manager For School,Vista International School,Competitive salary,Hyderabad
English Teacher For CBSE School,NCFE Schools,"₹ 2,88,000 - 3,60,000",Bangalore
Class 11-12 Biology Teacher For JEE/NEET Coaching,Mahesh Tutorials Shrirampur,"₹ 4,80,000 - 6,00,000",Shrirampur
Marketing Professor For College/University,Calcutta Business School,"₹ 9,60,000 - 12,00,000",Kolkata
Academic Coordinator (Primary) For School,Evergreen Public School,"₹ 6,72,000 - 8,40,000",Delhi
Physics Lecturer At Presidency PU College Kogilu,Presidency College,"₹ 3,24,000 - 4,05,000",Bangalore
Vice Principal For School,Sanskriti International School,"₹ 5,76,000 - 7,20,000",Shamli
"Teacher For Pre-School In Khorabar, Gorakhpur",Humanitas Global School Gorakhpur,Competitive salary,Gorakhpur
"TGT Social Science Teacher For CBSE School In Khorabar, Gorakhpur","Humanitas Global School, Gorakhpur",Competitive salary,Gorakhpur
Business Development Executive For Pre-School,Maple Bear Education Pvt. Ltd.,Competitive salary,Delhi
Laboratory Assistant For School,G.D. Goenka Public School Kolkata,"₹ 2,80,000 - 3,50,000",Kolkata
Competitions Maths Residential Faculty,Adyant Higher Secondary School,Competitive salary,Bhubaneswar
"PGT Psychology Teacher For CBSE School (Near Vasundhara Enclave, Delhi)",Evergreen Public School,Competitive salary,Delhi
General Science Teacher For Defence Exams Coaching,Sukhoi Academy,"₹ 3,84,000 - 4,80,000",Faridabad
Mathematics Teacher For CBSE School,Janapriya Schools,"₹ 2,40,000 - 3,00,000",Hyderabad
Content Writer For School,Narayana Schools,"₹ 4,86,400 - 6,08,000",Hyderabad
Principal For School,Narayana Schools,"₹ 8,09,600 - 10,12,000",Hyderabad
Subject Matter Expert For School,Narayana Schools,"₹ 4,86,400 - 6,08,000",Hyderabad
Academic Coordinator (Primary) For School,Narayana Schools,"₹ 8,09,600 - 10,12,000",Hyderabad
Academic Coordinator (Pre-Primary Level) For School,Narayana Schools,"₹ 8,09,600 - 10,12,000",Hyderabad
Teacher For Pre-School (Female). Chembur,"Basil Woods Juniors Preschool, Daycare & Activity Center","₹ 2,40,000 - 3,00,000",Mumbai
Teacher For Pre-School,Maple Bear Education Pvt. Ltd.,"₹ 2,72,000 - 3,40,000",Gurgaon
Headmistress,The Shri Ram Wonder Years,Competitive salary,Greater Noida
Fashion Designer Faculty,Narayana Group West Bengal,Competitive salary,Kolkata
Teacher For Pre-School,ICON Nurturing Innocence Pre School,Competitive salary,Gurgaon
Assistant Professor For Finance & Accounts,Calcutta Business School,Competitive salary,Kolkata
Pre-Primary General Teacher For CISCE School,Nopany High,Competitive salary,Kolkata
Class XI Chemistry And Maths Teacher For CISCE School,Oxford High School Howrah,"₹ 2,11,200 - 2,64,000",Howrah
Social Science Teacher For CBSE School,"The Nandyal Public School, Nandyal","₹ 2,88,000 - 3,60,000",Nandyal
TGT Physics Teacher For CBSE School,"The Nandyal Public School, Nandyal","₹ 2,88,000 - 3,60,000",Nandyal
TGT Mathematics Teacher For CBSE School,"The Nandyal Public School, Nandyal","₹ 2,88,000 - 3,60,000",Nandyal
PGT English Teacher For CBSE School,"Shri Ram Global School, Whitefield","₹ 3,84,000 - 4,80,000",Bangalore
PGT Mathematics Teacher For CBSE School,"The Nandyal Public School, Nandyal","₹ 3,36,000 - 4,20,000",Nandyal
PGT Chemistry For TIGPS Mankundu (CBSE School),Techno India Group Public School Mankundu,"₹ 2,88,000 - 3,60,000",Hooghly
PGT English Teacher For CBSE School,Seth MR Jaipuria School,"₹ 4,00,000 - 5,00,000",Pratapgarh
"Academic Coordinator (ICSE Board) For Shaheedpath Campus, Lucknow",Seth MR Jaipuria Schoool,"₹ 4,40,000 - 5,50,000",Lucknow
Hindi Lecturer For College/University,Presidency College,"₹ 3,21,600 - 4,02,000",Bangalore
Biology Assistant Professor For Academy,DKTE Science Academy,"₹ 9,60,000 - 12,00,000",Kolhapur
Mathematics Assistant Professor For Academy,DKTE Science Academy,"₹ 9,60,000 - 12,00,000",Kolhapur
Chemistry Assistant Professor For College/University,DKTE Science Academy,"₹ 9,60,000 - 12,00,000",Kolhapur
Physics Assistant Professor For College (Ichalkaranji),DKTE Science Academy,"₹ 9,60,000 - 12,00,000",Kolhapur
TGT English Teacher For CBSE School,Abhyuday School,"₹ 2,88,000 - 3,60,000",Kawardha
TGT SST,Abhyuday School,"₹ 3,20,000 - 4,00,000",Kawardha
TGT Goegraphy/Economics Teacher For CBSE School,"Shri Ram Global School, Whitefield","₹ 3,60,000 - 4,50,000",Bangalore
TGT English Teacher For CBSE School,Siddhanta Intellectual School,Competitive salary,Bangalore
PRINCIPAL At BHANGABARUAH (KALAIGAON),Gurukul Group Of Educational Wing,"₹ 2,40,000 - 3,00,000",Tangla
Mathematics JEE/NEET Foundation Faculty,"Sri Vijay Vidyashram Senior Secondary School, Dharmapuri","₹ 8,00,000 - 10,00,000",Dharmapuri
PRT English Teacher For CISCE School,Sanskriti The Gurukul,Competitive salary,Guwahati
PGT Sociology And English,Pragyanam School,Competitive salary,Gurgaon
PGT Physics And Mathematics,Pragyanam School,Competitive salary,Gurgaon
"Chemistry Teacher For IIT Foundation For Mount Litera Zee School, Nalgonda","Mount Litera Zee School, Nalgonda",Competitive salary,Hyderabad
Pre-Primary General Teacher For CBSE School,Seth M.R Jaipuria Schools,Competitive salary,Amethi
Advanced Robotics Teacher For CBSE School,G.D. Goenka Public School Kolkata,Competitive salary,Kolkata
Academic Coordinator (Pre-Primary Level) For School,National Public School Varthur,"₹ 4,00,000 - 5,00,000",Bangalore
Middle School English Teacher For CBSE School,Siddhartha Quest School,"₹ 3,84,000 - 4,80,000",Eluru
Pre-Primary General Teacher For Cambridge/IB-PYP,Reputed Residential School In Guwahati,"₹ 4,80,000 - 6,00,000",Guwahati
Primary Mathematics Teacher For CBSE/Cambridge School,Reputed Residential School In Guwahati,"₹ 6,40,000 - 8,00,000",Guwahati
Primary Science Teacher For CBSE/Cambridge School,Reputed Residential School In Guwahati,"₹ 4,00,000 - 5,00,000",Guwahati
Primary English Teacher For CBSE/Cambridge School,Reputed Residential School In Guwahati,"₹ 6,40,000 - 8,00,000",Guwahati
PGT Economics Teacher For School - CBSE/Cambridge,Reputed Residential School In Guwahati,"₹ 7,20,000 - 9,00,000",Guwahati
PGT Psychology Teacher For School - CBSE/Cambridge,Reputed Residential School In Guwahati,"₹ 8,00,000 - 10,00,000",Guwahati
PGT Geography Teacher For School - CBSE/Cambridge,Reputed Residential School In Guwahati,"₹ 8,00,000 - 10,00,000",Guwahati
PGT Accountancy Teacher For School - CBSE/Cambridge,Reputed Residential School In Guwahati,"₹ 8,00,000 - 10,00,000",Guwahati
PGT English Teacher For School - CBSE/Cambridge,Reputed Residential School In Guwahati,"₹ 6,40,000 - 8,00,000",Guwahati
Career & College Placement Counsellor For CBSE/Cambridge School,Reputed Residential School,Competitive salary,Guwahati
Psychological Counsellor For School,Janapriya Schools,"₹ 2,40,000 - 3,00,000",Hyderabad
Graphics Designer For CBSE/ Cambridge School,Reputed Residential School,Competitive salary,Guwahati
Nurse For School,Janapriya Schools,"₹ 2,40,000 - 3,00,000",Hyderabad
Pre Primary Teacher For CBSE School,Janapriya Schools,"₹ 2,40,000 - 3,00,000",Hyderabad
English Teacher For CBSE School,Janapriya Schools,"₹ 2,40,000 - 3,00,000",Hyderabad
Science Teacher For CBSE School,Janapriya Schools,"₹ 3,20,000 - 4,00,000",Hyderabad
Physical Education Teacher For CBSE School,Janapriya Schools,"₹ 2,40,000 - 3,00,000",Hyderabad
Principal / Head Of School,Reputed Residential School,Competitive salary,Guwahati
Computer Science Lecturer For College/University,VIVEKANANDA P.U COLLEGE,"₹ 2,40,000 - 3,00,000",Bangalore
Primary Social Science Teacher For CBSE School,Balsam Academy,"₹ 2,40,000 - 3,00,000",Ranipet
English Language Teacher For Karnataka Board School,V.I.P HIGH SCHOOL,Competitive salary,Bangalore
Pre-Primary General Teacher For Karnataka Board School,V.I.P HIGH SCHOOL,Competitive salary,Bangalore
Primary Hindi Teacher For CISCE School,Presidency School,"₹ 3,36,000 - 4,20,000",Bangalore
PRT Hindi Teacher For CBSE School,Delhi Public School Coimbatore,"₹ 4,56,000 - 5,70,000",Coimbatore
Commerce And Business Management Assistant Professor For College/University,Presidency College Kempapura,Competitive salary,Bangalore
Typist,The Newtown School.,Competitive salary,Kolkata
Preprimary Head Cbse,Narayana School.,"₹ 8,00,000 - 10,00,000",Hyderabad
TGT English Teacher For CBSE School,Brahmavid The Global School,Competitive salary,Raipur
English Lecturer For Yeshwantpur College,Presidency College,"₹ 3,36,000 - 4,20,000",Bangalore
Kannada Lecturer - Presidency PU College Yeshwanthpur,Presidency College,Competitive salary,Bangalore
PGT Mathematics Teacher For CBSE School,Reputed Residential School,Competitive salary,Tiruppur
PGT Mathematics Teacher For CBSE School,Reputed Residential School,Competitive salary,Coimbatore
PRT Librarian Teacher For CBSE School,Reputed School,Competitive salary,Hyderabad
TGT Music Teacher For CBSE School,Reputed School,Competitive salary,Hyderabad
Business Development Manager For School,Reputed School,Competitive salary,Hyderabad
PGT Psychology Teacher For CBSE School,Reputed School,Competitive salary,Hyderabad
Primary English Teacher For CISCE School (Islamic School) (Females Only),Arete International School,"₹ 4,80,000 - 6,00,000",Bangalore
PGT Chemistry Teacher For CBSE School,Reputed Group Of School,"₹ 4,32,000 - 5,40,000",Coimbatore
TGT - Chemistry Teacher,The Newtown School.,Competitive salary,Kolkata
PGT Physics Teacher For CBSE School,Narayana School.,Competitive salary,Jalna
PGT Physics Teacher For CBSE School,Narayana School.,Competitive salary,Pune
PRT Hindi Teacher For CBSE School,Seth M.R Jaipuria Schools,Competitive salary,Amethi
Social Media Manager/Podcast Producer,The Newtown School.,Competitive salary,Kolkata
Chemistry Lab Assistant For CBSE School,The Newtown School.,Competitive salary,Kolkata
Urgently Required ENGLISH TEACHER AND COORDINATOR In SARDONYX SCHOOL JHAJHA,Sardonyx School Jhajha,"₹ 2,56,000 - 3,20,000",Patna
Human Resource  Must Have MBA,Narayana Group West Bengal,Competitive salary,Kolkata
History Teacher - Primary And High School For ICSE,Presidency School,"₹ 4,80,000 - 6,00,000",Bangalore
IT Executive,Reputed CBSE School,Competitive salary,Kolkata
DTP Operator,Reputed CBSE School,Competitive salary,Kolkata
TGT Social Science Teacher For CBSE School,Siddhartha Quest School,"₹ 3,36,000 - 4,20,000",Eluru
PGT Computer Science For TIGPS Kalyani (CBSE School),Techno India Group Public School Kalyani,"₹ 2,08,000 - 2,60,000",Nadia
