JOB Role,Company,Salary,Location
Design Engineer,TRIPLE INFOTECH,"₹ 2,00,000",Coimbatore
Associate Video Editor,Regrob,"₹ 2,00,000 - 2,40,000",Noida
Bakery Assistant,Rajeev  Rai,"₹ 2,00,000",Gurgaon
Business Development Executive,TapOnn,"₹ 3,00,000 - 4,00,000",Indore
Business Development Specialist,Bankians.com,"₹ 2,00,000 - 2,20,000",Noida
Video Editor,Clay Cutters India,"₹ 2,00,000",Work from home
Digital Marketing Executive,Sensing,"₹ 3,00,000 - 4,00,000",Mumbai
Brand Manager,Boop,"₹ 8,00,000 - 13,00,000","Delhi, Gurgaon"
Podcast Host,Impresio Studio,"₹ 2,40,000 - 2,52,000",Noida                                                        (Hybrid)
Sales Associate,Aspire Proptech,"₹ 4,00,000 - 6,00,000",Bangalore
Associate Graphic Designer,Tyariexamki.com,"₹ 2,00,000 - 3,60,000",Delhi
International Recruiter,IMS People,"₹ 3,00,000 - 4,50,000",Ahmedabad
Mechanical Engineer,Macdev Engineering Solutions,"₹ 3,00,000",Work from home
Telecaller,VS Digitech Technology,"₹ 2,20,000 - 2,60,000",Kolkata
Video Editor,The Marketing Samurai,"₹ 3,00,000",Work from home
Business Analyst,Tenex Consultancy Services,"₹ 2,00,000 - 3,00,000",Work from home
Graphic & Video Designer,Stratnova Technologies,"₹ 2,00,000 - 4,00,000",Work from home
Junior Operations Associate,GoSwasthya,"₹ 2,40,000",Bangalore
2D Animator,One Media Group,"₹ 2,40,000 - 3,60,000",Work from home
Administration Associate,SRP & Company,"₹ 2,00,000 - 5,40,000",Delhi
Associate Content Writer,Techsophy,"₹ 2,00,000 - 2,50,000",Hyderabad
Operations Executive,Yog Love,"₹ 3,10,000 - 3,65,000",Mumbai
Project Coordinator,Crimson Interactive,"₹ 2,00,000 - 3,00,000",Mumbai
Process Engineer,Rochem India,"₹ 2,30,000",Vasai
Junior Teacher,Rush Sports,"₹ 2,30,000 - 3,25,000",Bangalore                                                        (Hybrid)
Digital Marketing Manager,Agarwal Realty,"₹ 2,00,000 - 7,44,000",Work from home
Digital Marketing Associate,Fitoverse,"₹ 2,40,000 - 3,60,000",Salem
Hydrology Trainee,STVENANT LLP,"₹ 2,00,000 - 3,50,000",Mathura                                                        (Hybrid)
Content Writer,Insights Success,"₹ 2,04,000 - 4,80,000",Pune
Corporate Sales Executive,RenB Digital,"₹ 3,00,000 - 3,60,000",Work from home
Associate Content Writer,Delkon Technologies,"₹ 4,00,000 - 4,20,000",Work from home
Backend Developer,AgriGravity Technologies,"₹ 12,00,000 - 30,00,000",Jaipur
Full Stack AI Engineer,CanadaMentors,"₹ 4,00,000 - 8,00,000",Work from home
Partnership Manager,QuadB Tech,"₹ 2,00,000 - 3,00,000",Ludhiana
Trainee Software Engineer,Recruit CRM,"₹ 9,00,000",Work from home
2D Animator,One Media Group,"₹ 2,40,000 - 3,60,000",Work from home
Business Development Executive,Webibm,"₹ 3,60,000 - 8,40,000",Delhi
Soft Skills Trainer,Kapable.club,"₹ 4,00,000 - 7,00,000",Delhi
Behavioural Skills Trainer,Kapable.club,"₹ 4,00,000 - 6,00,000",Delhi
Content Writer,Candent SEO,"₹ 2,00,000 - 2,50,000",Patna
Junior Copywriter,BusinessTimes,"₹ 2,00,000",Bangalore
Business Development Manager,Lawtech,"₹ 3,55,000 - 3,60,000",Bhopal
Senior Account Manager,GigFloww,"₹ 5,00,000 - 6,00,000",Bangalore
Web Content Writer,Practice Buzz,"₹ 2,40,000 - 4,80,000",Work from home
Graphic Designer,Jupiter Recruits,"₹ 2,00,000 - 2,70,000",Raipur
Administration Executive,Secure Properties,"₹ 2,00,000 - 6,50,000",Kolkata
Junior Architect,Amalgrain Studio,"₹ 2,40,000",Bangalore
Associate Accountant,DRASHTI RAJENDRA & ASSOCIATES,"₹ 2,00,000 - 2,10,000",Mumbai
Project Associate,AI Certs,"₹ 2,50,000 - 5,00,000",Gandhinagar
Junior Operations Associate,Compliance Mentorz,"₹ 2,00,000 - 3,20,000",Work from home
Marketing Manager,Star Digital,"₹ 3,00,000 - 3,60,000",Mumbai
Content Writer,Proponent Technologies,"₹ 3,00,000 - 5,50,000",Dehradun
Actor,WeKids Media Network,"₹ 3,00,000 - 3,60,000",Mumbai
Backend Developer,Trade Brains,"₹ 4,20,000 - 4,50,000",Bangalore
Business Manager,Nayirah,"₹ 3,00,000 - 4,20,000","Delhi, Gurgaon"
Graphic Designer,Minar Electric,"₹ 2,00,000",Delhi                                                        (Hybrid)
3D Visualizer,Material Depot,"₹ 4,00,000 - 5,00,000",Bangalore
Corporate Sales Associate,TeamLease,"₹ 3,60,000 - 4,80,000",Bangalore
Publisher Relationship Manager,Unibots,"₹ 3,00,000 - 4,00,000",Delhi
Video & Graphic Designer,Steps AI,"₹ 2,40,000 - 4,80,000",Work from home
Content Writer,Jain University,"₹ 3,00,000 - 5,00,000",Bangalore
Full Stack Developer,Aivoranext,"₹ 3,00,000 - 5,00,000",Ahmedabad
Customer Success Associate,Sumtracker.com,"₹ 8,00,000 - 10,00,000",Gurgaon
Talent Acquisition Associate,ConsultBae,"₹ 2,00,000 - 5,00,000",Gurgaon
Social Media Strategist,MediaBuzzLab,"₹ 2,00,000 - 4,50,000",Ahmedabad                                                        (Hybrid)
Associate Data Scientist,MediaCom India,"₹ 5,00,000 - 8,00,000",Work from home
Associate Web Developer,MediaCom India,"₹ 5,00,000 - 8,00,000",Work from home
Associate Software Developer,MediaCom India,"₹ 5,00,000 - 8,00,000",Work from home
Customer Acquisition Executive,TripFactory,"₹ 3,00,000 - 4,00,000",Bangalore
Business Manager,Geek Creative Agency,"₹ 3,00,000 - 6,00,000",Work from home
Digital Marketing Manager,Prime Landlords GmbH,"₹ 3,00,000 - 4,50,000",Work from home
Junior Frontend Developer,Anisht,"₹ 2,60,000 - 2,90,000",Delhi                                                        (Hybrid)
Business Development Associate,Learnmedix Education,"₹ 4,00,000 - 6,00,000",Work from home
Event Management Associate,Group Futurista,"₹ 2,00,000 - 3,00,000",Work from home
Operations Associate,Timekeepers Consultants,"₹ 2,40,000 - 3,60,000",Pune                                                        (Hybrid)
Accounts Executive,KOSA Wellbeing,"₹ 2,00,000 - 3,36,000",Pune                                                        (Hybrid)
Merchandise Designer,Mysa Jaipur,"₹ 2,70,000 - 3,00,000",Jaipur
Interior Designer,Lime Interiors,"₹ 2,40,000 - 3,00,000",Mumbai
Business Development Associate,BiggPocket,"₹ 3,00,000 - 3,70,000",Delhi
Corporate Sales Associate,Franco Rugs,"₹ 2,01,000 - 3,00,000",Work from home
Field Sales Manager,Finvestology,"₹ 2,00,000",Lucknow
Claim Insurance Executive,Jasicnytum,"₹ 2,10,000",Mumbai
Vendor & Supply Chain Executive,Tidbeat,"₹ 2,00,000 - 2,20,000",Work from home
Graphic Designer,Kreative Bucket,"₹ 2,00,000 - 4,00,000",Delhi
Graphic Designer,Tender Licence,"₹ 2,00,000 - 2,20,000",Lucknow                                                        (Hybrid)
Recruiter - UK,IMS Group,"₹ 3,00,000 - 4,00,000",Ahmedabad
Property Manager,Kivaara,"₹ 2,00,000 - 2,60,000","Alwar, Bhiwadi, Tijara, Kishangarh Bas"
Travel Consultant/Sales,Solopackers,"₹ 2,20,000 - 3,30,000",Bangalore
Digital Marketing Associate,Forzo TechLabs,"₹ 2,10,000 - 3,70,000",Work from home
Fashion Consultant,Mitesh Lodha,"₹ 2,50,000 - 3,70,000",Mumbai
General Sales Executive,Avaesa,"₹ 2,00,000 - 2,16,000",Chennai
Financial Operations,WeMakeScholars,"₹ 4,00,000 - 4,30,000","Ahmedabad, Lucknow, Vadodara, Vellore, Vijayawada, Raipur, Nagpur, Hyderabad, Vishakhapatnam, Gulbarga, Bihar, Rajasthan, Telangana, Gujarat, Madhya Pradesh"
Business Development Executive,ACLM Services,"₹ 2,60,000 - 4,00,000",Work from home
UK Recruiter,IMS Group,"₹ 2,00,000 - 4,00,000",Ahmedabad
Corporate Sales Associate,Hidani Tech,"₹ 3,00,000 - 6,00,000",Work from home
Client Service Executive,Live101,"₹ 2,00,000 - 2,50,000",Mumbai
After Effects Compositor,Dobby Ads,"₹ 3,00,000 - 3,60,000",Work from home
Inside Sales Executive,Isourse,"₹ 5,40,000 - 8,60,000",Delhi
Accountant,Dhanushkoti Builder & Developers,"₹ 2,00,000 - 3,00,000",Lucknow
Customer Relationship  Maneger,OneQik,"₹ 5,16,000 - 6,60,000",Koramangala
Architect,Diwakar Bhati Architects,"₹ 2,00,000 - 2,50,000",Jodhpur
Machine Operator,TeamShare Consulting,"₹ 2,21,800 - 2,66,000",Chennai
Junior Architect,Rydam Studio,"₹ 2,40,000 - 3,00,000",Delhi                                                        (Hybrid)
Web Developer,Wool 'O' Wool,"₹ 2,00,000 - 2,20,000",Work from home
Senior Travel Consultant,Tripoclan,"₹ 4,50,000 - 6,50,000",Noida                                                        (Hybrid)
Business Development Manager,IIEDM,"₹ 2,00,000 - 4,00,000",Mumbai
Academic Content Writer,Research Pixie,"₹ 2,00,000 - 2,50,000",Work from home
Junior Video Editor,Shubham  Arora,"₹ 2,00,001 - 2,10,001",Work from home
Business Development Manager,Pixelstreet,"₹ 3,00,000",Kolkata
Associate Data Scientist,VData Tech,"₹ 3,00,000 - 5,10,000",Work from home
Corporate Sales Associate,Group Futurista,"₹ 2,00,000 - 3,00,000",Work from home
Business Development Associate,Eduminatti,"₹ 2,00,000 - 2,10,000",Lucknow
Graphic Designer,Boop,"₹ 3,00,000 - 5,00,000",Gurgaon
Sales Officer,Marigold Wealth,"₹ 2,00,000 - 3,00,000",Dehradun
E-commerce Generalist,Imitica,"₹ 2,00,000 - 2,05,000",Delhi                                                        (Hybrid)
Corporate Sales Manager,OneLeaf,"₹ 2,10,000 - 2,70,000",Noida
Data Engineer,Augrade Private Limited,"₹ 4,00,000 - 6,00,000",Work from home
Business Development Executive,Intellgus,"₹ 5,00,000 - 7,40,000",Indore
Sales Executive,CLOUD INGENIOUS,"₹ 3,00,000 - 4,50,000",Noida
Client Associate,Teesa Home,"₹ 2,50,000",Mumbai
Travel Sales,Travel Triangle,"₹ 2,00,000 - 3,00,000",Gurgaon
Interior Designer,Homedzine,"₹ 5,00,000 - 7,00,000","Delhi, Gurgaon, Noida"
Event Management Executive,Samply,"₹ 2,00,000 - 2,16,000",Gurgaon
Content Writer,Genesis Web Solutions,"₹ 2,00,000",Work from home
Project Associate,Bajaj Foundation,"₹ 2,00,000",Delhi
Senior Tax Expert,ClearTax,"₹ 4,50,000 - 8,00,000",Gurgaon
Full Stack Developer,Highway Delite,"₹ 2,00,000 - 2,16,000",Work from home
Ecommerce Executive,The Manatomy,"₹ 2,00,000 - 2,40,000",Gurgaon
Field Sales Executive,LUMENZA,"₹ 2,80,000 - 5,60,000",Bhopal
Client Servicing Executive,RoadCast,"₹ 3,00,000 - 5,00,000",Delhi
Business Development Manager,Tradon,"₹ 4,80,000 - 10,60,000",Bangalore
Community Marketing Manager,MYTRA,"₹ 2,00,000 - 2,80,000",Pune                                                        (Hybrid)
Sales Executive,Properties Wallah,"₹ 3,20,000 - 5,60,000",Noida
Delegate Acquisition Specialist,Group Futurista,"₹ 2,00,000 - 3,00,000",Work from home
Admin Assistant (Founder’s Assistant),Hometests,"$ 3,000 - 3,600",Work from home
Data Analytics Associate,JustLend,"₹ 2,80,000 - 4,00,000",Chittorgarh
Business Development Associate,Interview Lift,"₹ 6,00,000 - 14,40,000",Work from home
Graphic Designer,Ideasaur Creative,"₹ 2,00,000 - 2,40,000",Bangalore                                                        (Hybrid)
Junior WordPress Developer,Devgraphiq,"₹ 2,00,000",Hyderabad
Customer Relationship Manager,TopMentor,"₹ 2,00,000 - 3,50,000",Pune
Operations Executive,9shines Label,"₹ 2,60,000 - 3,20,000",Bangalore
Brand Identity Designer,Daniya Shah,"₹ 2,00,000 - 3,00,000",Work from home
Inventory & Sales Coordinator,Keystar Gems Inc.,"₹ 3,50,000 - 5,50,000",Work from home
Business Development Executive,Airtribe,"₹ 7,00,000 - 9,50,000",Bangalore
Field Sales Executive,NyquistTech Solutions,"₹ 2,00,000 - 2,80,000",Work from home
Business Development Associate,Way2Society,"₹ 2,00,000 - 2,00,001",Mumbai
Lead Research Analyst,Vichinth,"₹ 2,00,000 - 2,24,000",Delhi
Data Entry Specialist,ToppersNotes,"₹ 2,00,000 - 2,10,000",Jaipur
MIS Executive,Aadinath Industries,"₹ 2,00,000 - 2,20,000",Kundli
Business Operations Executive,Fruitilicious,"₹ 4,00,000 - 5,00,000",Mumbai
Operations Associate,LegAccord,"₹ 2,00,000 - 2,52,000",Navi Mumbai
Business Development Associate,Arcanus Services,"₹ 3,00,000 - 3,70,000",Work from home
Assistant Manager - BD,Raamesh Chandra,"₹ 2,70,000 - 4,00,000",Work from home
Business Development Executive,LevelApp,"₹ 3,00,000 - 4,00,000",Hyderabad
Talent Acquisition Associate,LevelApp,"₹ 3,00,000 - 4,00,000",Hyderabad
Associate Software Developer,Sentics GmbH,"₹ 3,50,000 - 11,00,000",Work from home
Telecaller,Fidelite Placement Solutions,"₹ 2,00,000 - 2,50,000",Kolkata
Librarian,"Knowledge Center, Gurgaon","₹ 2,00,000 - 2,50,000",Gurgaon
Corporate Sales Manager,Thingonet Technology,"₹ 3,30,000 - 5,00,000",Work from home
Business Development Associate,Digital Doorado,"₹ 2,40,000 - 3,00,000",Work from home
Senior Content Writer,Saving Saga,"₹ 6,00,000 - 9,00,000",Work from home
Customer Service Specialist,Recruit CRM,"₹ 4,00,000 - 6,00,000",Work from home
Marketing + Content Strategist,Isha Merchant,"₹ 2,00,000 - 2,10,000",Work from home
Business Analyst,Blue Nectar,"₹ 3,00,000 - 3,50,000",Gurgaon
Mobile App Developer,Hargun Ghai,"₹ 4,00,000 - 5,00,000",Work from home
Exceptional Virtual Assistant,Yaswanth Marketing,"₹ 2,50,000 - 3,00,000",Work from home
Retail Data & Operations Coordinator,Limese,"₹ 2,40,000 - 4,80,000",Work from home
Telecaller,Rock Dense Network,"₹ 2,01,000 - 2,60,000",Delhi
Fitness Trainer,Kingmaker Fitness,"₹ 2,16,000 - 3,72,000",Chennai
Marketing Strategy & Brand Management,BuildnBrand,"₹ 2,40,000",Work from home
Accountant,Megasoft Enterprises,"₹ 2,00,000 - 2,70,000","Delhi, Gurgaon"
Sales Content Specialist,Com.Bot,"₹ 2,00,000 - 3,60,000",Surat
Business Development Associate,VR WORLD,"₹ 2,00,000 - 2,80,000",Work from home
Podcast Guest Reachout,Masum  Gandhi,"₹ 2,00,000",Work from home
Content Marketing Manager,Colipse Coffee,"$ 67,077 - 87,077",Work from home
Marketing Associate,Glamanand Entertainment,"₹ 4,00,000 - 9,00,000",Delhi
Administration Manager,Banarasi Threads,"₹ 2,16,000 - 2,64,000",Noida
Business Development Associate,Eduminatti,"₹ 2,00,000 - 3,00,000",Allahabad
Marketing (All Rounder),MoonBliss,"₹ 3,00,000 - 4,80,000",Bangalore
Content Writer,Dhwani Astro,"₹ 2,16,000 - 3,60,000",Delhi
Android Developer,Frontlink Technology,"₹ 2,00,000",Surat
Business Development Associate,Karyarth,"₹ 4,00,000 - 6,00,000",Bangalore
Business Development Associate,Navikshaa,"₹ 6,00,000",Bangalore
Digital Marketing Associate,I-SmokeStack,"₹ 2,50,000 - 3,40,000",Work from home
Media Buyer,Visual Marketer,"₹ 2,00,000 - 3,00,000",Coimbatore
Field Executive,Dealfinity Services,"₹ 2,00,000 - 5,00,000",Bangalore
Digital Marketing Specialist,Snowball Money,"₹ 2,50,000 - 3,00,000",Work from home
Associate Academic,Prephead,"₹ 2,00,000",Noida                                                        (Hybrid)
Business Development Executive,Efeedor,"₹ 2,14,000 - 2,19,000",Chennai                                                        (Hybrid)
Associate Videographer,Barbell Cartel,"₹ 4,00,000 - 8,00,000",Bangalore
Sales Psychologist,Barbell Cartel,"₹ 6,00,000 - 12,00,000",Bangalore
Fashion Designer,Barbell Cartel,"₹ 4,00,000 - 6,00,000",Bangalore                                                        (Hybrid)
Telecaller,Travel Eways World,"₹ 2,00,000 - 2,20,000",Pune
Subject Matter Expert (SME),SpireEdu,"₹ 2,00,000 - 2,00,001",Work from home
Accountant,The Venture Guys,"₹ 2,15,000 - 3,70,000",Surat
WordPress Developer,Hello Technologies,"₹ 2,50,000 - 4,00,000",Madurai
Electronics Engineer,Giri Brothers,"₹ 2,00,000 - 2,20,000",Chennai
Digital Marketing Executive,Needles & Thimbles,"₹ 3,85,000 - 5,30,000",Work from home
Junior Lead Generation Associate,Parivestra,"₹ 2,00,000 - 4,00,000",Work from home
Junior Video Editor,Micdrop,"₹ 2,02,000 - 2,45,000",Bhilai
PHP Developer,Reliable Solution,"₹ 3,00,000 - 5,00,000",Surat
Corporate Sales Executive,Thebrothing,"₹ 4,20,000 - 7,60,000",Delhi
Associate Video Editor,FlexiFunnels,"₹ 2,40,000 - 3,60,000",Dehradun
Administration Manager,CO-OFFIZ,"₹ 3,50,000 - 4,50,000",Noida
Travel Sales Consultant,HoldOnWorld,"₹ 2,30,000 - 4,14,000",Noida
Full Stack Developer,Com.Bot,"₹ 2,00,000 - 3,60,000",Surat
Graphic Designer,Zigsaw Consultancy,"₹ 3,50,000 - 6,00,000",Mumbai
Fresher-Salesforce Developer/Administrator,Softsensor.ai,"₹ 3,50,000 - 4,50,000",Work from home
Inside Sales Executive,NNIIT,"₹ 2,01,000 - 6,02,000",Hyderabad
Administration Specialist,Akhil Goel,"₹ 2,10,000 - 3,30,000",Delhi
Counsellor,Zell Education,"₹ 4,50,000 - 5,50,000","Lucknow, Pune, Noida"
Marketing Executive,Gurunanak Holographics,"₹ 2,00,000 - 2,40,000",Delhi
Business Development Executive,UniAcco,"₹ 3,00,000 - 3,60,000",Mumbai
Junior Operations Associate,UniAcco,"₹ 3,00,000 - 3,60,000",Mumbai
Digital Marketing Associate,Trotcot,"₹ 2,00,000",Ahmedabad
Lead Generation Executive,ServerGuy,"₹ 3,60,000 - 5,00,000",Noida
Marketing Executive,PSLK ENGINEERING,"₹ 3,60,000 - 6,90,000",Hyderabad
Digital Marketing Specialist,Music & Movies,"₹ 30,00,000 - 60,00,000",Work from home
Client Acquisition Associate,Globiva,"₹ 2,00,000 - 5,50,000",Gurgaon
Graphic Designer,Crayon InfoTech,"₹ 2,50,000 - 7,00,000",Mumbai
Content Writer,Jimmy Luxury,"₹ 3,00,000 - 3,60,000",Delhi
Business Development Associate,Bezt Labs,"₹ 2,00,000 - 3,00,000",Work from home
Academic Counsellor (Sales Trainee),LawSikho,"₹ 2,10,000 - 2,75,000",Work from home
Associate Lawyer,Shailendra Bhatnagar,"₹ 3,00,000 - 3,21,111",South
Content Creator,Stirring Minds,"₹ 2,00,000 - 2,50,000",Delhi
Documentation Incharge,Linen Living,"₹ 2,50,000 - 3,00,000",Delhi
Corporate Sales Associate,RegisterKaro,"₹ 6,00,000 - 7,80,000",Gurgaon
Telecaller,SEO Tech Solution,"₹ 5,00,000 - 6,20,000",Chennai
Finance Associate,Command Tech,"₹ 3,00,000 - 5,00,000",Thiruvananthapuram
Brand Manager,Brands Jar,"₹ 4,00,000 - 5,00,000",Pune
Film & Videographer,Growify Digital,"₹ 3,50,000 - 8,00,000",Delhi
Project Coordinator,Milestone Localization,"₹ 3,00,000 - 4,00,000",Bangalore
Business Development Associate,Velpaso,"₹ 2,00,000 - 5,00,000",Gurgaon
Analyst - Founders Office,LightPillar,"₹ 3,00,000 - 3,60,000",Gurgaon
Business Development Executive,Scooter,"₹ 12,00,000",Bangalore                                                        (Hybrid)
Video Editor,Scaling Socials,"₹ 2,40,000 - 3,60,000",Bangalore
Junior Graphic Designer,Dobby Ads,"₹ 3,00,000 - 3,60,000",Work from home
Business Development Executive,InstaAstro,"₹ 2,50,000 - 4,00,000",Noida
Customer Support,Zell Education,"₹ 3,50,000 - 4,50,000",Mumbai
Content Writer,Scaling Socials,"₹ 2,28,000 - 2,40,000",Bangalore
Lead Generation Executive,Faclon,"₹ 3,00,000 - 5,00,000",Mumbai
Junior Operations Associate,Tvachamrit,"₹ 3,00,000 - 4,00,000",Mumbai
Business Development Associate,Unityque,"₹ 6,00,000 - 8,00,000",Kolkata
Business Development Associate,Unityque,"₹ 6,00,000 - 8,00,000",Chandigarh
Business Development Associate,Unityque,"₹ 6,00,000 - 8,00,000",Bangalore
Business Development Associate,Unityque,"₹ 6,00,000 - 8,00,000",Noida
Business Development Associate,Unityque,"₹ 6,00,000 - 8,00,000",Gurgaon
Business Development Associate,Unityque,"₹ 6,00,000 - 8,00,000",Lucknow
Website & Backend Development Executive,ARMII,"₹ 3,00,000",Work from home
Headphone Guru,Headphone Zone,"₹ 3,00,000 - 5,00,000",Mumbai
Associate Teacher,Hetal Shah,"₹ 2,00,000 - 2,40,000",Mumbai
Digital Sales Executive,QuantAlgos,"₹ 2,00,000",Mohali
Pre-sales Executive,UniAcco,"₹ 3,00,000 - 3,60,000",Mumbai
Administration Associate,DMK International,"₹ 2,00,000",Mumbai
Associate Video Editor,Gaurav Tomar,"₹ 2,00,000 - 3,00,000",Work from home
Business Development Executive,Petpooja,"₹ 3,00,000 - 4,00,000",Ahmedabad
Store Associate,ARTZO INDIA,"₹ 3,80,000 - 4,10,000",Bangalore
Accountant,Trustlance Solutions LLP,"₹ 2,00,000 - 3,40,000",Bangalore
Receptionist,MapMyGenome India Limited,"₹ 2,40,000",Hyderabad
Business Operations Executive,Corizo,"₹ 6,50,000 - 8,00,000",Bangalore
Content Writer,Teambees Corp,"₹ 2,00,000 - 6,00,000",Gurgaon
Graphic Designer,Topper Shiksha,"₹ 2,00,000 - 2,50,000",Bangalore
Video Editor,Stirring Minds,"₹ 2,00,000 - 2,50,000",Delhi
Associate Professor,Coding Junior,"₹ 3,00,000 - 6,00,000",Ahmedabad
Junior Video Editor,Yenetch,"₹ 4,00,000 - 6,50,000",Jaipur                                                        (Hybrid)
Video Editor,Value4Media,"₹ 2,00,000 - 3,50,000","Delhi, Noida"
Business Development Manager,NNIIT,"₹ 6,00,000 - 8,50,000",Hyderabad
Business Development Associate,Unibots,"₹ 3,00,000 - 4,00,000",Delhi
Sales Executive,Rydeu Logistics UG,"₹ 2,00,000 - 2,10,000",Work from home
Sales Executive,Rydeu Logistics UG,"₹ 2,00,000 - 2,10,000",Work from home
Operations Executive,Rydeu Logistics UG,"₹ 2,00,000 - 2,10,000",Work from home
Marketing Executive,Rydeu Logistics UG,"₹ 2,00,000 - 2,10,000",Work from home
Senior Video Editor,Confluencr,"₹ 4,50,000 - 6,00,000",Bangalore
Sales Executive,Chum Xperiences,"₹ 2,80,000 - 4,00,000",Bangalore
Junior Operations Associate,NNIIT,"₹ 2,00,000 - 2,20,000",Hyderabad
Digital Marketing Specialist,Baysick,"₹ 2,50,000 - 2,75,000",Work from home
Business Development Associate,Kraftshala,"₹ 6,00,000 - 9,00,000",Delhi
Telecaller,SHRI MISRI GROUP,"₹ 2,40,000 - 5,00,000",Chennai
Full Stack Developer,Bentex Group,"₹ 4,00,000 - 5,00,000",Work from home
Field Sales Executive,Gaavi,"₹ 3,90,000 - 9,00,000",Hyderabad
Videography,SHRI MISRI GROUP,"₹ 2,50,000 - 5,00,000",Chennai
Junior Accountant,Ambrosia Botanical,"₹ 2,58,000 - 3,25,000",Gurgaon
Corporate Sales Associate,Globussoft,"₹ 2,90,000 - 4,00,000",Bangalore
Corporate Sales Executive,NRIWAY,"₹ 2,02,000 - 2,53,000",Nagpur
Client Solutions Associate,Airtory,"₹ 3,60,000 - 4,00,000",Bangalore
Digital Marketing Specialist,Deepika Anand,"₹ 2,00,000 - 3,00,000",Work from home
Data Entry Specialist,Bentex Group,"₹ 2,50,000 - 3,50,000",Work from home
Business Development Executive,QuickPR,"₹ 2,00,000 - 4,00,000",Noida
Manager - Regional Sales,Expertrons,"₹ 3,05,000 - 8,50,000",Mumbai
Business Analyst,Aiveda Technology,"₹ 3,00,000 - 5,00,000",Delhi
Digital Marketing Specialist,WellbeingMora,"₹ 2,00,000",Work from home
Software Development (Instructor),NxtWave,"₹ 2,00,000",Hyderabad
Field Service Engineer,UNIPACKAUTO INDIA PRIVATE LIMITED,"₹ 2,01,000",Bhiwadi
Field Sales Associate,MyMentalCoach,"₹ 3,00,000 - 5,00,000",Pune                                                        (Hybrid)
Business Development Executive,CosmostakeR,"₹ 2,00,000 - 2,16,000",Indore
Talent Acquisition Executive,Beyondskool,"₹ 2,76,000 - 3,00,000",Mumbai
Electrical Engineer,Startek International,"₹ 2,10,000 - 3,50,000",Faridabad
Executive Assistant,SR WORLD SOLUTIONS,"₹ 3,00,000 - 5,00,000",Work from home
Recruiter,Peklenc,"₹ 3,00,000 - 6,00,000",Greater Noida West
Coding Instructor,Codeshala Private Limited,"₹ 2,10,000 - 2,21,000",Work from home
Associate Software Developer,Benepik,"₹ 3,00,000 - 4,20,000",Gurgaon
Telesales Exeutive,Hash Digitech,"₹ 2,00,000 - 2,70,000",Ghaziabad
Interior Designer,Golden Homez,"₹ 2,10,000 - 2,80,000",Kalyan                                                        (Hybrid)
Interior Site Supervisor,Shifa Traders,"₹ 2,28,000 - 2,58,000",Work from home
Academic Advisor,WeMakeScholars,"₹ 4,00,000 - 4,30,000","Ahmedabad, Delhi, Kolkata, Lucknow, Pune, Ranchi, Visakhapatnam, Hyderabad, Jaipur, Noida, Nagpur, Bangalore, Rajasthan, Maharashtra, Madhya Pradesh"
Customer Service Associate,IntouchCX,"₹ 2,00,000 - 4,00,000",Bangalore
Corporate Sales Manager,Stratnova Technologies,"₹ 3,00,000 - 14,00,000",Work from home
Customer Support Executive,ALANNA,"₹ 2,00,000 - 2,40,000",Bhopal
Digital Marketing Associate,MSA Software,"₹ 2,16,000 - 2,77,000",Work from home
Junior Telecaller,Driven Properties,"₹ 2,20,000 - 2,40,000",Hyderabad
Administration Executive,Biginxt,"₹ 3,00,000 - 8,00,000","Delhi, Pune, Mumbai, Bangalore                                                        (Hybrid)"
Field Sales Executive,Eshopizo,"₹ 3,50,000 - 6,00,000",Work from home
Sales Manager,Magnon India,"₹ 6,00,000",Mysuru
Community Manager,Yashica Jalhotra,"₹ 3,24,000 - 3,90,000",Noida                                                        (Hybrid)
Administration Manager,Arconaid Consultants,"₹ 2,00,000 - 3,00,000",Pune
Experience Partner & Operations,SoulSensei,"₹ 2,00,000 - 3,00,000",Mumbai                                                        (Hybrid)
Area Sales Executive,White Particles,"₹ 3,50,000 - 6,24,000",Work from home
Customer Support Executive,ClickRetina,"₹ 2,00,000 - 3,30,000",Lucknow
Graphic Designer,Nourish Nation Foundation,"₹ 2,50,000 - 4,00,000",Work from home
Talent Acquisition Executive,CoverYou,"₹ 6,00,000 - 7,00,000",Gurgaon
Administration Executive,Trisol Red,"₹ 2,00,000 - 4,00,000",Ghaziabad
Telecaller,TanServ Business Process,"₹ 2,00,000 - 2,50,000",Gurgaon
Freelance Recruitment Specialist,VIKESKA Global,"₹ 2,80,000 - 4,40,000",Work from home
Junior Operations Associate,NNIIT,"₹ 3,01,000 - 5,02,000",Hyderabad
Customer Support Executive,GUTBasket,"₹ 2,50,000 - 4,00,000",Gandhinagar
Graphic Designer,Swastik Spices,"₹ 2,50,000 - 3,00,000",Bangalore
Digital Video Editor,Astrotalk,"₹ 3,60,000 - 4,40,000",Gurgaon
Sales Representative,Robo Kids World,"₹ 3,00,000 - 3,20,000",Work from home
Telecaller,Gold Nest Research,"₹ 2,10,000 - 3,20,000",Mumbai
Telacaller,Prolegion Pvt. Ltd.,"₹ 2,00,000 - 2,40,000",Chennai
Cinematographer,Right Health India,"₹ 3,00,000 - 6,00,000",Mumbai
Linguist,Lingo Chaps Translation Services,"₹ 2,00,001 - 3,00,001",Work from home
